age,education,occupation,gender,hours-per-week,income
49,10th,Farming-fishing,Male,40,<=50K
59,HS-grad,Transport-moving,Male,40,>50K
20,HS-grad,Adm-clerical,Female,40,<=50K
51,Some-college,?,Female,18,<=50K
33,Some-college,Adm-clerical,Female,35,<=50K
22,Some-college,Transport-moving,Male,39,<=50K
58,9th,Other-service,Female,40,<=50K
52,HS-grad,Adm-clerical,Female,28,<=50K
36,10th,Machine-op-inspct,Female,40,<=50K
41,HS-grad,Protective-serv,Male,40,<=50K
28,HS-grad,Transport-moving,Male,40,<=50K
19,Some-college,Handlers-cleaners,Male,16,<=50K
18,HS-grad,Other-service,Female,28,<=50K
18,HS-grad,Machine-op-inspct,Female,48,<=50K
28,Some-college,Craft-repair,Male,40,<=50K
29,Assoc-voc,Exec-managerial,Male,40,>50K
20,HS-grad,?,Female,20,<=50K
40,Some-college,Handlers-cleaners,Male,40,<=50K
26,HS-grad,Handlers-cleaners,Male,40,<=50K
46,HS-grad,Craft-repair,Male,40,<=50K
23,11th,Other-service,Female,24,<=50K
44,HS-grad,Adm-clerical,Female,40,<=50K
43,Bachelors,Sales,Female,40,>50K
31,Bachelors,Prof-specialty,Female,60,<=50K
18,Some-college,Sales,Female,25,<=50K
19,Some-college,Protective-serv,Male,30,<=50K
41,Some-college,Tech-support,Female,40,<=50K
41,HS-grad,Handlers-cleaners,Female,40,<=50K
69,HS-grad,Adm-clerical,Female,25,<=50K
48,Doctorate,Prof-specialty,Female,40,>50K
28,HS-grad,Prof-specialty,Male,40,<=50K
27,HS-grad,Craft-repair,Male,60,>50K
41,Masters,Prof-specialty,Male,50,>50K
41,Some-college,Adm-clerical,Male,40,<=50K
24,HS-grad,Craft-repair,Female,40,<=50K
20,HS-grad,?,Female,40,<=50K
42,Doctorate,Prof-specialty,Male,41,>50K
57,HS-grad,Craft-repair,Male,48,<=50K
30,Assoc-acdm,Prof-specialty,Female,40,<=50K
36,HS-grad,Sales,Male,60,>50K
49,7th-8th,Machine-op-inspct,Male,40,<=50K
33,HS-grad,Machine-op-inspct,Female,35,<=50K
23,10th,Farming-fishing,Male,40,<=50K
46,Masters,Prof-specialty,Male,40,<=50K
18,Some-college,Adm-clerical,Female,22,<=50K
40,HS-grad,Exec-managerial,Male,55,>50K
43,HS-grad,Exec-managerial,Male,45,>50K
34,Masters,Prof-specialty,Female,30,<=50K
47,HS-grad,Exec-managerial,Female,30,<=50K
44,Assoc-voc,Exec-managerial,Female,30,<=50K
33,HS-grad,Sales,Male,40,>50K
55,Bachelors,Exec-managerial,Male,50,>50K
19,HS-grad,Sales,Male,30,<=50K
28,Some-college,Other-service,Male,14,<=50K
27,11th,Other-service,Female,32,<=50K
50,7th-8th,Machine-op-inspct,Male,20,<=50K
22,11th,Craft-repair,Male,40,<=50K
40,Bachelors,Adm-clerical,Male,45,>50K
25,Some-college,Adm-clerical,Female,40,<=50K
26,HS-grad,Craft-repair,Male,40,<=50K
22,Bachelors,Sales,Male,25,<=50K
42,Some-college,Handlers-cleaners,Female,40,<=50K
38,Bachelors,Exec-managerial,Male,40,<=50K
55,11th,Other-service,Male,30,<=50K
32,HS-grad,Sales,Male,40,<=50K
22,HS-grad,Craft-repair,Male,45,<=50K
29,Bachelors,Sales,Male,40,<=50K
46,Masters,Exec-managerial,Male,45,>50K
31,Some-college,Exec-managerial,Male,40,>50K
58,Doctorate,Prof-specialty,Male,16,>50K
42,HS-grad,Craft-repair,Male,45,<=50K
18,HS-grad,Handlers-cleaners,Male,25,<=50K
58,HS-grad,Exec-managerial,Male,33,<=50K
54,HS-grad,Prof-specialty,Male,40,>50K
34,Masters,Prof-specialty,Male,40,<=50K
26,Bachelors,Adm-clerical,Female,40,<=50K
61,12th,Exec-managerial,Male,60,<=50K
48,Masters,Adm-clerical,Female,40,<=50K
36,Some-college,Exec-managerial,Male,45,>50K
24,Assoc-voc,Machine-op-inspct,Male,45,<=50K
40,Some-college,Machine-op-inspct,Male,37,<=50K
33,HS-grad,Sales,Male,50,>50K
37,Some-college,Machine-op-inspct,Male,40,>50K
34,Masters,Exec-managerial,Male,40,<=50K
56,Some-college,Exec-managerial,Male,40,>50K
28,HS-grad,?,Female,38,>50K
37,Bachelors,Exec-managerial,Female,55,<=50K
44,HS-grad,Sales,Female,40,<=50K
64,Some-college,?,Male,8,<=50K
54,HS-grad,Handlers-cleaners,Male,45,<=50K
23,HS-grad,Machine-op-inspct,Male,50,<=50K
34,Bachelors,Farming-fishing,Male,40,<=50K
22,HS-grad,Other-service,Female,45,<=50K
33,Bachelors,Exec-managerial,Male,40,>50K
39,Bachelors,Prof-specialty,Male,50,>50K
47,Some-college,Adm-clerical,Female,37,<=50K
79,7th-8th,?,Male,40,<=50K
26,HS-grad,Prof-specialty,Female,55,<=50K
31,Some-college,Exec-managerial,Female,40,<=50K
44,Some-college,Transport-moving,Male,45,<=50K
42,Prof-school,Prof-specialty,Female,50,>50K
19,HS-grad,Machine-op-inspct,Female,40,<=50K
27,HS-grad,Handlers-cleaners,Male,40,>50K
51,Some-college,Protective-serv,Male,40,>50K
28,Bachelors,Exec-managerial,Male,50,<=50K
57,Bachelors,Craft-repair,Male,45,<=50K
45,Bachelors,Prof-specialty,Female,40,<=50K
50,Assoc-voc,Prof-specialty,Male,40,>50K
34,Bachelors,Sales,Male,54,<=50K
45,7th-8th,Craft-repair,Male,40,<=50K
73,HS-grad,Exec-managerial,Male,20,<=50K
34,Bachelors,Prof-specialty,Female,50,>50K
31,Some-college,Sales,Male,55,>50K
19,11th,Sales,Male,12,<=50K
25,Some-college,Other-service,Female,50,<=50K
38,Assoc-voc,Craft-repair,Female,40,<=50K
39,Bachelors,Transport-moving,Male,40,<=50K
23,Bachelors,Tech-support,Female,32,<=50K
49,HS-grad,Machine-op-inspct,Male,40,<=50K
33,HS-grad,Other-service,Male,32,<=50K
21,5th-6th,Machine-op-inspct,Male,38,<=50K
31,Assoc-voc,Craft-repair,Male,40,<=50K
23,Bachelors,Exec-managerial,Female,45,<=50K
34,Bachelors,Adm-clerical,Male,40,<=50K
25,HS-grad,Machine-op-inspct,Female,40,<=50K
39,HS-grad,Craft-repair,Male,40,<=50K
52,HS-grad,Sales,Male,40,>50K
63,9th,Transport-moving,Male,40,>50K
41,Some-college,Craft-repair,Male,40,<=50K
46,Bachelors,Prof-specialty,Male,38,>50K
53,HS-grad,Exec-managerial,Male,40,<=50K
25,9th,?,Female,40,<=50K
77,Some-college,?,Male,35,<=50K
18,12th,Priv-house-serv,Male,40,<=50K
38,Prof-school,Prof-specialty,Male,50,<=50K
55,Masters,Exec-managerial,Female,50,<=50K
34,HS-grad,Tech-support,Male,40,>50K
80,HS-grad,Other-service,Male,30,<=50K
34,Assoc-voc,Tech-support,Female,60,<=50K
52,Some-college,Tech-support,Male,40,<=50K
42,HS-grad,Other-service,Female,28,<=50K
26,Some-college,Sales,Female,40,<=50K
31,HS-grad,Transport-moving,Male,40,<=50K
25,HS-grad,Other-service,Female,35,<=50K
55,HS-grad,Craft-repair,Male,60,<=50K
19,Some-college,Other-service,Female,12,<=50K
62,Some-college,Transport-moving,Male,32,<=50K
22,Some-college,Adm-clerical,Female,20,<=50K
39,HS-grad,?,Female,50,<=50K
35,HS-grad,Handlers-cleaners,Male,40,<=50K
28,HS-grad,Sales,Female,40,<=50K
47,HS-grad,Transport-moving,Male,70,>50K
44,HS-grad,Machine-op-inspct,Male,40,<=50K
21,Some-college,Sales,Male,15,<=50K
35,Assoc-voc,Craft-repair,Male,50,<=50K
24,Bachelors,Prof-specialty,Male,40,>50K
42,Bachelors,Prof-specialty,Male,40,<=50K
28,Bachelors,Tech-support,Male,50,<=50K
21,Some-college,Machine-op-inspct,Male,35,<=50K
62,Some-college,Tech-support,Male,40,<=50K
39,HS-grad,Other-service,Female,40,<=50K
30,HS-grad,Other-service,Male,40,<=50K
72,Prof-school,Prof-specialty,Male,20,<=50K
50,Some-college,Exec-managerial,Female,50,<=50K
28,Masters,Prof-specialty,Male,40,<=50K
29,Some-college,Prof-specialty,Female,40,<=50K
26,Bachelors,Adm-clerical,Female,40,<=50K
27,Masters,Exec-managerial,Female,40,<=50K
29,Some-college,Handlers-cleaners,Male,40,>50K
61,HS-grad,?,Male,40,<=50K
29,10th,Craft-repair,Male,25,<=50K
21,Some-college,?,Female,30,<=50K
31,11th,Sales,Female,20,<=50K
25,HS-grad,Exec-managerial,Male,75,<=50K
58,10th,Transport-moving,Male,40,>50K
64,Some-college,Exec-managerial,Female,40,>50K
46,Masters,Exec-managerial,Male,38,<=50K
53,HS-grad,?,Male,35,>50K
19,HS-grad,Other-service,Female,35,<=50K
42,HS-grad,Other-service,Male,52,<=50K
18,11th,Handlers-cleaners,Male,24,<=50K
58,Bachelors,Craft-repair,Male,50,>50K
20,Some-college,Protective-serv,Male,60,<=50K
35,HS-grad,Craft-repair,Male,40,>50K
32,HS-grad,Handlers-cleaners,Male,38,>50K
23,HS-grad,Handlers-cleaners,Female,25,<=50K
31,Some-college,Tech-support,Female,40,<=50K
33,Bachelors,Sales,Male,55,<=50K
41,Some-college,Machine-op-inspct,Female,48,<=50K
22,HS-grad,Machine-op-inspct,Male,40,<=50K
46,Some-college,Protective-serv,Male,40,>50K
61,Some-college,Transport-moving,Male,40,<=50K
30,HS-grad,Exec-managerial,Male,40,<=50K
42,HS-grad,Exec-managerial,Male,55,>50K
63,10th,Handlers-cleaners,Male,40,<=50K
26,Some-college,Sales,Male,40,<=50K
42,10th,Adm-clerical,Female,40,<=50K
23,Some-college,Other-service,Male,40,<=50K
25,HS-grad,Machine-op-inspct,Male,40,<=50K
30,9th,Other-service,Male,32,>50K
23,HS-grad,Sales,Male,40,<=50K
34,Assoc-voc,Farming-fishing,Male,60,>50K
30,HS-grad,Machine-op-inspct,Male,48,<=50K
39,Some-college,Craft-repair,Male,40,>50K
30,11th,Handlers-cleaners,Male,38,<=50K
38,Some-college,Adm-clerical,Female,38,<=50K
26,HS-grad,Exec-managerial,Female,40,<=50K
20,Some-college,Handlers-cleaners,Male,16,<=50K
37,Bachelors,Prof-specialty,Male,40,<=50K
33,HS-grad,Adm-clerical,Female,40,<=50K
24,Bachelors,Adm-clerical,Male,40,<=50K
42,Bachelors,Exec-managerial,Male,60,>50K
51,HS-grad,Sales,Male,84,<=50K
56,Assoc-acdm,Tech-support,Male,45,>50K
22,Some-college,Handlers-cleaners,Male,40,<=50K
52,Some-college,Farming-fishing,Male,60,<=50K
44,Bachelors,Exec-managerial,Female,45,>50K
34,HS-grad,Adm-clerical,Female,35,<=50K
51,Some-college,Craft-repair,Male,42,>50K
20,Some-college,?,Male,40,<=50K
19,Some-college,Sales,Female,25,<=50K
37,Bachelors,Exec-managerial,Male,40,>50K
68,HS-grad,Machine-op-inspct,Male,40,>50K
22,Some-college,Protective-serv,Male,40,<=50K
56,Bachelors,Exec-managerial,Male,40,<=50K
37,HS-grad,Craft-repair,Male,40,<=50K
52,1st-4th,Machine-op-inspct,Male,40,<=50K
26,HS-grad,Handlers-cleaners,Male,40,<=50K
33,Masters,Prof-specialty,Male,50,<=50K
45,Masters,Prof-specialty,Female,42,<=50K
18,11th,Other-service,Male,15,<=50K
43,Some-college,Farming-fishing,Male,60,>50K
64,Doctorate,Prof-specialty,Male,50,>50K
18,HS-grad,Handlers-cleaners,Male,20,<=50K
20,Some-college,?,Male,45,<=50K
57,HS-grad,Craft-repair,Male,40,>50K
41,HS-grad,Adm-clerical,Female,42,<=50K
34,Masters,Exec-managerial,Male,50,>50K
19,HS-grad,Sales,Female,40,<=50K
44,9th,Other-service,Female,55,<=50K
56,10th,Other-service,Female,40,<=50K
36,HS-grad,Farming-fishing,Male,80,<=50K
48,Bachelors,Exec-managerial,Female,48,<=50K
29,HS-grad,Transport-moving,Male,40,>50K
33,Bachelors,Craft-repair,Male,40,<=50K
31,5th-6th,Other-service,Male,40,<=50K
39,Masters,Prof-specialty,Male,45,>50K
66,HS-grad,Exec-managerial,Male,40,>50K
27,Bachelors,Prof-specialty,Female,50,>50K
39,HS-grad,Exec-managerial,Female,40,>50K
59,7th-8th,Craft-repair,Male,50,>50K
26,HS-grad,Other-service,Female,40,<=50K
31,Assoc-voc,Craft-repair,Male,40,<=50K
45,HS-grad,?,Female,40,<=50K
23,HS-grad,Handlers-cleaners,Male,30,<=50K
36,HS-grad,Adm-clerical,Female,40,<=50K
34,Some-college,Other-service,Female,12,>50K
32,HS-grad,Transport-moving,Male,84,>50K
37,Bachelors,Prof-specialty,Male,50,>50K
33,Bachelors,Sales,Male,45,<=50K
50,Prof-school,Prof-specialty,Male,80,>50K
32,Assoc-acdm,Protective-serv,Male,40,<=50K
35,Bachelors,Adm-clerical,Female,40,<=50K
37,11th,Craft-repair,Male,40,<=50K
44,Some-college,Craft-repair,Male,60,<=50K
57,Some-college,Handlers-cleaners,Male,25,<=50K
29,Some-college,Exec-managerial,Female,40,<=50K
55,HS-grad,Craft-repair,Male,50,>50K
43,Prof-school,Prof-specialty,Male,25,>50K
43,Some-college,Sales,Male,70,<=50K
45,Some-college,Sales,Male,60,>50K
33,Masters,Prof-specialty,Female,8,<=50K
26,10th,Other-service,Female,40,<=50K
23,Some-college,Sales,Male,68,<=50K
41,7th-8th,Craft-repair,Male,40,<=50K
24,HS-grad,Craft-repair,Male,40,<=50K
47,Bachelors,Sales,Male,44,<=50K
34,HS-grad,Craft-repair,Male,45,<=50K
40,HS-grad,Exec-managerial,Male,40,>50K
28,Bachelors,Prof-specialty,Female,40,<=50K
24,HS-grad,Exec-managerial,Female,40,<=50K
73,Some-college,?,Male,10,<=50K
23,HS-grad,Craft-repair,Male,15,<=50K
43,HS-grad,Exec-managerial,Male,40,>50K
26,Bachelors,Tech-support,Female,40,<=50K
58,Doctorate,Exec-managerial,Female,35,>50K
52,HS-grad,Adm-clerical,Female,35,<=50K
29,11th,Transport-moving,Male,99,>50K
47,11th,Other-service,Male,35,<=50K
49,HS-grad,Adm-clerical,Female,37,<=50K
40,11th,Adm-clerical,Female,40,<=50K
62,HS-grad,Adm-clerical,Female,40,<=50K
49,HS-grad,Exec-managerial,Male,55,>50K
50,Bachelors,Prof-specialty,Female,50,>50K
31,HS-grad,Transport-moving,Male,40,<=50K
48,Masters,Prof-specialty,Female,50,<=50K
24,HS-grad,Craft-repair,Female,40,<=50K
41,HS-grad,?,Female,40,<=50K
37,HS-grad,Machine-op-inspct,Male,60,<=50K
45,Bachelors,Exec-managerial,Male,45,>50K
63,HS-grad,?,Male,16,<=50K
36,Masters,Exec-managerial,Male,45,<=50K
45,Bachelors,Exec-managerial,Male,40,<=50K
41,Bachelors,Sales,Female,40,<=50K
26,Assoc-acdm,Tech-support,Female,20,<=50K
17,11th,Sales,Female,25,<=50K
27,HS-grad,Other-service,Male,36,<=50K
43,HS-grad,Machine-op-inspct,Male,65,<=50K
35,HS-grad,Transport-moving,Male,55,<=50K
38,Bachelors,Adm-clerical,Female,40,<=50K
26,HS-grad,Machine-op-inspct,Male,40,<=50K
28,Some-college,Exec-managerial,Female,40,<=50K
38,Bachelors,Prof-specialty,Female,24,>50K
36,11th,Transport-moving,Female,40,<=50K
33,HS-grad,Adm-clerical,Female,40,>50K
19,HS-grad,Handlers-cleaners,Male,70,<=50K
22,Assoc-acdm,?,Male,25,<=50K
42,10th,Adm-clerical,Male,40,<=50K
50,10th,Transport-moving,Male,40,>50K
30,HS-grad,Handlers-cleaners,Male,30,<=50K
37,Some-college,Prof-specialty,Male,40,<=50K
54,Prof-school,Prof-specialty,Male,40,>50K
52,Bachelors,Exec-managerial,Male,40,<=50K
65,1st-4th,Handlers-cleaners,Male,40,<=50K
33,HS-grad,Craft-repair,Female,40,<=50K
25,Some-college,Tech-support,Male,40,<=50K
24,Bachelors,Sales,Male,45,<=50K
26,Assoc-voc,Adm-clerical,Female,40,<=50K
39,HS-grad,Adm-clerical,Male,40,>50K
59,HS-grad,Other-service,Female,40,<=50K
29,Some-college,Adm-clerical,Female,40,<=50K
47,11th,Other-service,Female,45,<=50K
23,Some-college,?,Female,35,<=50K
64,HS-grad,Transport-moving,Male,50,<=50K
21,HS-grad,Other-service,Male,20,<=50K
32,Some-college,Adm-clerical,Female,40,>50K
26,HS-grad,Exec-managerial,Female,37,<=50K
19,Some-college,?,Female,20,<=50K
62,Masters,Prof-specialty,Male,40,<=50K
32,Bachelors,Craft-repair,Male,55,>50K
75,10th,?,Female,5,<=50K
45,HS-grad,Exec-managerial,Male,60,<=50K
31,Bachelors,Exec-managerial,Male,50,>50K
32,HS-grad,Adm-clerical,Male,40,<=50K
24,Bachelors,Sales,Male,40,<=50K
25,Bachelors,Sales,Female,40,<=50K
41,HS-grad,Exec-managerial,Male,60,<=50K
18,Some-college,Sales,Female,20,<=50K
44,Doctorate,Prof-specialty,Male,55,>50K
40,Some-college,Exec-managerial,Male,50,<=50K
27,Bachelors,Prof-specialty,Male,40,<=50K
23,Bachelors,Adm-clerical,Male,40,<=50K
21,Some-college,Adm-clerical,Male,40,<=50K
37,HS-grad,Transport-moving,Male,40,<=50K
65,HS-grad,Farming-fishing,Male,48,<=50K
43,Masters,Prof-specialty,Male,40,>50K
45,HS-grad,Adm-clerical,Male,44,<=50K
24,Bachelors,Exec-managerial,Female,40,<=50K
24,Some-college,Machine-op-inspct,Male,42,<=50K
19,Some-college,Protective-serv,Male,35,<=50K
37,Bachelors,Prof-specialty,Male,65,>50K
24,HS-grad,Adm-clerical,Female,35,<=50K
34,Some-college,Machine-op-inspct,Male,40,<=50K
50,HS-grad,Other-service,Female,39,<=50K
36,HS-grad,Craft-repair,Male,40,<=50K
39,Bachelors,Sales,Male,60,<=50K
44,7th-8th,Craft-repair,Male,38,<=50K
45,HS-grad,Other-service,Male,40,<=50K
32,11th,Protective-serv,Male,40,<=50K
47,Masters,Exec-managerial,Male,40,>50K
50,HS-grad,Machine-op-inspct,Male,40,<=50K
32,Assoc-voc,Other-service,Male,40,<=50K
19,HS-grad,Handlers-cleaners,Male,40,<=50K
19,Some-college,?,Female,20,<=50K
28,Masters,Prof-specialty,Male,10,<=50K
28,HS-grad,Sales,Male,50,<=50K
39,Masters,Prof-specialty,Male,40,>50K
21,Some-college,Other-service,Male,40,<=50K
73,Some-college,Farming-fishing,Female,75,<=50K
39,7th-8th,Other-service,Male,40,<=50K
25,Some-college,Machine-op-inspct,Male,40,<=50K
31,Some-college,Sales,Female,20,<=50K
51,Some-college,Sales,Female,32,<=50K
39,Bachelors,Adm-clerical,Female,28,<=50K
31,Bachelors,Handlers-cleaners,Male,40,<=50K
21,Some-college,Sales,Male,17,<=50K
46,Bachelors,Exec-managerial,Male,50,>50K
73,HS-grad,Exec-managerial,Female,35,<=50K
41,HS-grad,Craft-repair,Male,40,<=50K
20,HS-grad,Transport-moving,Male,40,<=50K
27,Assoc-acdm,Other-service,Male,30,<=50K
24,Bachelors,Prof-specialty,Male,35,<=50K
20,Some-college,Craft-repair,Male,40,<=50K
39,Assoc-voc,Machine-op-inspct,Male,40,<=50K
27,Bachelors,Handlers-cleaners,Male,28,<=50K
33,11th,Sales,Male,60,<=50K
33,HS-grad,Handlers-cleaners,Male,40,<=50K
36,9th,Craft-repair,Male,40,<=50K
55,Some-college,Exec-managerial,Male,36,<=50K
19,Some-college,Machine-op-inspct,Male,40,<=50K
35,HS-grad,Exec-managerial,Male,60,<=50K
34,5th-6th,Machine-op-inspct,Male,40,<=50K
62,Prof-school,Prof-specialty,Female,35,<=50K
33,Some-college,Craft-repair,Male,40,>50K
39,9th,Craft-repair,Male,55,<=50K
36,Some-college,Tech-support,Male,40,<=50K
41,Bachelors,Adm-clerical,Female,33,<=50K
39,HS-grad,Craft-repair,Male,60,<=50K
38,HS-grad,?,Female,10,>50K
18,HS-grad,Adm-clerical,Female,10,<=50K
61,Some-college,Exec-managerial,Male,45,>50K
20,Assoc-voc,Adm-clerical,Female,36,<=50K
35,HS-grad,Transport-moving,Male,65,>50K
27,HS-grad,Machine-op-inspct,Male,40,<=50K
66,10th,Other-service,Female,38,<=50K
21,HS-grad,Transport-moving,Male,40,<=50K
20,Some-college,Other-service,Female,18,<=50K
34,Some-college,Adm-clerical,Male,40,<=50K
63,5th-6th,Priv-house-serv,Female,50,<=50K
20,HS-grad,?,Male,40,<=50K
31,HS-grad,Tech-support,Female,40,<=50K
41,Doctorate,Prof-specialty,Male,60,<=50K
64,1st-4th,Farming-fishing,Male,45,<=50K
32,Bachelors,Exec-managerial,Female,40,<=50K
30,HS-grad,Transport-moving,Male,50,>50K
36,Bachelors,Farming-fishing,Male,72,<=50K
22,Some-college,Farming-fishing,Male,12,<=50K
53,Some-college,Exec-managerial,Male,50,<=50K
50,HS-grad,Adm-clerical,Female,40,<=50K
36,Bachelors,Exec-managerial,Male,40,<=50K
41,11th,Exec-managerial,Male,40,<=50K
55,Bachelors,Exec-managerial,Female,35,<=50K
38,Bachelors,Sales,Male,50,>50K
28,Bachelors,Exec-managerial,Male,50,<=50K
24,Bachelors,Prof-specialty,Female,37,<=50K
60,Some-college,Adm-clerical,Female,40,<=50K
54,10th,Other-service,Male,40,<=50K
27,HS-grad,Craft-repair,Male,60,<=50K
30,Masters,Prof-specialty,Female,30,<=50K
54,HS-grad,Transport-moving,Male,45,<=50K
44,Some-college,Craft-repair,Male,40,>50K
52,HS-grad,Transport-moving,Male,60,>50K
18,11th,Other-service,Male,20,<=50K
55,7th-8th,Transport-moving,Male,50,<=50K
35,Bachelors,Prof-specialty,Male,50,>50K
37,Bachelors,Exec-managerial,Female,40,>50K
22,Some-college,Adm-clerical,Female,40,<=50K
45,Bachelors,Exec-managerial,Male,45,>50K
38,Bachelors,Farming-fishing,Male,60,<=50K
48,Bachelors,Prof-specialty,Male,40,<=50K
35,Assoc-voc,Other-service,Male,40,<=50K
21,Assoc-voc,Craft-repair,Male,50,<=50K
37,HS-grad,Craft-repair,Male,60,>50K
18,11th,Sales,Male,25,<=50K
26,10th,Machine-op-inspct,Male,35,<=50K
48,Bachelors,Craft-repair,Male,50,<=50K
51,Some-college,Adm-clerical,Male,40,>50K
52,Some-college,Craft-repair,Male,40,<=50K
32,Bachelors,Farming-fishing,Male,40,>50K
39,Bachelors,Other-service,Male,60,<=50K
51,Bachelors,Prof-specialty,Male,40,>50K
54,Bachelors,Sales,Male,50,<=50K
21,Some-college,Prof-specialty,Female,25,<=50K
43,HS-grad,Adm-clerical,Female,40,<=50K
32,Some-college,Adm-clerical,Female,40,<=50K
31,Masters,Prof-specialty,Male,35,>50K
73,HS-grad,?,Male,8,<=50K
26,Some-college,Adm-clerical,Male,60,<=50K
35,HS-grad,Craft-repair,Male,40,<=50K
73,5th-6th,Exec-managerial,Male,54,>50K
25,Bachelors,Sales,Female,40,<=50K
58,Assoc-voc,Farming-fishing,Male,65,<=50K
32,HS-grad,Other-service,Female,37,<=50K
28,Bachelors,Prof-specialty,Male,40,<=50K
41,Masters,Sales,Female,30,<=50K
53,HS-grad,Craft-repair,Male,48,<=50K
49,HS-grad,Adm-clerical,Female,35,<=50K
